Landlord,Bed/Bath,Bed,Bath,CleanAddress,Address,Price,PriceNum,PetsAllowed,Available,Amenities,LLID
B.Sawyer Properties,2bd/1ba,2,1,700 10th St North La Crosse WI,700 10th St North La Crosse WI,"$1,080 ",1080,TRUE,TRUE,"Dishwasher, Trash, Refrigerator, Range/Oven",6
B.Sawyer Properties,3bd/1ba,3,1,700 10th St North La Crosse WI,700 10th St North La Crosse WI,"$1,620 ",1620,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",6
B.Sawyer Properties,3bd/1ba,3,1,632 11th St North La Crosse WI,632 11th St North La Crosse WI,"$1,515 ",1515,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",6
B.Sawyer Properties,1bd/1ba,1,1,632 11th St North La Crosse WI,632 11th St North La Crosse WI,$820 ,820,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",6
EKIM Properties,3bd/2ba,3,2,735 22nd St N La Crosse WI,735 22nd St N-RENTED La Crosse WI,"$1,200 ",1200,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",3
Off-Campus La Crosse LLC,8bd/2ba,8,2,1019 Zeisler St La Crosse WI,1019 Zeisler St La Crosse WI,"$3,650 ",3650,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Lawn Care",4
Clarkin Properties,4bd/1ba,4,1,1422 Vine St La Crosse WI,1422 Vine St La Crosse WI,"$2,000 ",2000,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",7
Clarkin Properties,4bd/1ba,4,1,1418 Vine St La Crosse WI,1418 Vine St La Crosse WI,"$2,000 ",2000,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher",7
Clarkin Properties,4bd/2ba,4,2,1128 State St La Crosse WI,1128 State St La Crosse WI,"$1,900 ",1900,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",7
Clarkin Properties,5bd/2ba,5,2,725 10th St North La Crosse WI,725 10th St North La Crosse WI,"$2,250 ",2250,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher",7
EKIM Properties,4bd/1ba,4,1,903 Main St La Crosse WI,903 Main St-RENTED La Crosse WI,"$2,200 ",2200,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",3
EKIM Properties,5bd/2ba,5,2,1624 Main St La Crosse WI,1624 Main St-RENTED La Crosse WI,"$2,500 ",2500,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",3
EKIM Properties,3bd/1ba,3,1,1212 Ferry St La Crosse WI,1212 Ferry St La Crosse WI,"$1,450 ",1450,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",3
Miller Properties,5bd/2ba,5,2,113 22nd St North La Crosse WI,113 22nd St North La Crosse WI,"$2,375 ",2375,TRUE,TRUE,"Hot Water, Trash, Refrigerator, Range/Oven, Dishwasher, Disposal",1
B.Sawyer Properties,2bd/2ba,2,2,1031 La Crosse St La Crosse WI,1031 La Crosse St La Crosse WI,"$1,350 ",1350,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Microwave, Dishwasher",6
Gerrard Properties,4bd/2ba,4,2,1135 State St La Crosse WI,1135 State St La Crosse WI,"$2,560 ",2560,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher, Microwave",8
Gerrard Properties,3bd/1ba,3,1,509 10th St North La Crosse WI,509 10th St North La Crosse WI,"$1,785 ",1785,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",8
Gerrard Properties,3bd/1ba,3,1,1135 State St La Crosse WI,1135 State St La Crosse WI,"$2,025 ",2025,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher, Mocrowave",8
Gerrard Properties,2bd/1ba,2,1,1125 State St La Crosse WI,1125 State St La Crosse WI,"$1,450 ",1450,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher, Microwave",8
Gerrard Properties,3bd/1ba,3,1,1125 State St La Crosse WI,1125 State St La Crosse WI,"$2,085 ",2085,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher, Microwave",8
Baumgartner Properties,6bd/2ba,6,2,621 11th St N La Crosse WI,621 11th St N-RENTED La Crosse WI,"$2,200 ",2200,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",9
Baumgartner Properties,4bd/2ba,4,2,515 10th St North La Crosse WI,515 10th St North La Crosse WI,"$1,800 ",1800,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",9
Baumgartner Properties,4bd/1ba,4,1,702 11th St North La Crosse WI,702 11th St North La Crosse WI,"$1,600 ",1600,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",9
B.Sawyer Properties,2bd/1ba,2,1,1020 Grove St La Crosse WI,1020 Grove St La Crosse WI,"$1,100 ",1100,TRUE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher, Microwave",6
Three Sixty,4bd/2ba,4,2,421 12th St North La Crosse WI,421 12th St North La Crosse WI,"$2,480 ",2480,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",2
MQuick Properties,4bd/1ba,4,1,1607 Market St La Crosse WI,1607 Market St La Crosse WI,"$1,100 ",1100,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",10
Dillaber Properties,2bd/1ba,2,1,1113 Vine St La Crosse WI,1113 Vine St La Crosse WI,$890 ,890,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",11
Dillaber Properties,2bd/1ba,2,1,1246 La Crosse St La Crosse WI,1246 La Crosse St La Crosse WI,$950 ,950,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",11
Biondo Properties,2bd/1ba,2,1,801 La Crosse St La Crosse WI,801 La Crosse St La Crosse WI,"$1,110 ",1110,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher",12
Cappuccio Rentals,3bd/1ba,3,1,515 11th St North La Crosse WI,515 11th St North La Crosse WI,"$1,560 ",1560,TRUE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher, Heat, Electric, Hot Water",13
AptsLax LLC,3bd/1ba,3,1,"624 8th St S, Down, La Crosse WI","624 8th St S, Down, La Crosse WI","$1,250 ",1250,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",14
Wise Properties,3bd/1ba,3,1,1230 La Crosse St La Crosse WI,1230 La Crosse St La Crosse WI,"$1,275 ",1275,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",15
Wise Properties,3bd/1ba,3,1,1428 State St La Crosse WI,1428 State St La Crosse WI,"$1,380 ",1380,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",15
Wise Properties,5bd/2ba,5,2,1513 Main St La Crosse WI,1513 Main St La Crosse WI,"$2,025 ",2025,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",15
Biondo Properties,2bd/1ba,2,1,1241 La Crosse St La Crosse WI,1241 La Crosse St La Crosse WI,"$1,150 ",1150,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher",12
Biondo Properties,2bd/1ba,2,1,1261 La Crosse St La Crosse WI,1261 La Crosse St La Crosse WI,"$1,110 ",1110,TRUE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher",12
Favre Retnals,5bd/2ba,5,2,104 17th Pl South La Crosse WI,104 17th Pl South La Crosse WI,"$2,600 ",2600,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",16
Gander Rentals,1bd/1ba,1,1,215 15th St N La Crosse WI,215 15th St N-RENTED La Crosse WI,$580 ,580,FALSE,TRUE,"Trash, Refrigerator, Cook-top, Microwave",17
B.Sawyer Properties,2bd/1ba,2,1,632 11th St North La Crosse WI,632 11th St North La Crosse WI,"$1,050 ",1050,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",6
Dillaber Properties,4bd/2ba,4,2,1113 Vine St La Crosse WI,1113 Vine St La Crosse WI,"$1,820 ",1820,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher",11
Dillaber Properties,4bd/2ba,4,2,1019 Grove St La Crosse WI,1019 Grove St La Crosse WI,"$1,700 ",1700,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",11
Cappuccio Rentals,4bd/2ba,4,2,509 11th St North La Crosse WI,509 11th St North La Crosse WI,"$2,200 ",2200,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",13
Classic Housing LLC,4bd/2ba,4,2,1100 La Crosse St La Crosse WI,1100 La Crosse St La Crosse WI,"$2,180 ",2180,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",18
B.Sawyer Properties,4bd/2ba,4,2,707 11th St North La Crosse WI,707 11th St North La Crosse WI,"$2,300 ",2300,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher, Microwave",6
JCH Rentals,2bd/1ba,2,1,624 10th St N La Crosse WI,624 10th St N La Crosse WI,$995 ,995,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Heat and Hot Water",19
JAMAR Properties,2bd/1ba,2,1,216 West Ave North La Crosse WI,216 West Ave North La Crosse WI,"$1,150 ",1150,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",20
JAMAR Properties,4bd/2ba,4,2,216 West Ave North La Crosse WI,216 West Ave North La Crosse WI,"$2,300 ",2300,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",20
RK&D Properties,4bd/2ba,4,2,320 13th St North La Crosse WI,320 13th St North La Crosse WI,"$1,540 ",1540,TRUE,FALSE,"Trash, Refrigerator, Range/Oven, Water/Hot Water",21
RK&D Properties,3bd/1ba,3,1,1005 Cameron Ave La Crosse WI,1005 Cameron Ave-RENTED La Crosse WI,"$1,060 ",1060,TRUE,FALSE,"Trash, Refrigerator, Range/Oven, Water/Hot Water",21
Hilton Properties,5bd/1ba,5,1,325 9th St North La Crosse WI,325 9th St North La Crosse WI,"$1,885 ",1885,TRUE,FALSE,"Trash, Refrigerator, Range/Oven, Water/Hot Water",22
Resurrection Rentals,5bd/2ba,5,2,"1108 Vine St, La Crosse WI","1108 Vine St, La Crosse WI","$3,000 ",3000,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",23
Resurrection Rentals,5bd/2ba,5,2,1218 Vine St La Crosse WI,1218 Vine St La Crosse WI,"$3,000 ",3000,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",23
Resurrection Rentals,5bd/1ba,5,1,1222 Vine St La Crosse WI,1222 Vine St La Crosse WI,"$3,000 ",3000,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",23
Resurrection Rentals,4bd/1ba,4,1,1301 State St La Crosse WI,1301 State St La Crosse WI,"$2,400 ",2400,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",23
608 Properties,6bd/2ba,6,2,1324 Vine St La Crosse WI,1324 Vine St La Crosse WI,"$3,300 ",3300,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",24
608 Properties,4bd/1ba,4,1,1330 Vine St La Crosse WI,1330 Vine St La Crosse WI,"$2,000 ",2000,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",24
608 Properties,5bd/2ba,5,2,1401 Vine St La Crosse WI,1401 Vine St La Crosse WI,"$2,750 ",2750,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",24
Resurrection Rentals,3bd/2ba,3,2,218 13th St North La Crosse WI,218 13th St North La Crosse WI,"$1,500 ",1500,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",23
608 Properties,5bd/2ba,5,2,218 West Ave North La Crosse WI,218 West Ave North La Crosse WI,"$2,875 ",2875,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",24
Resurrection Rentals,4bd/2ba,4,2,"218 11th St N, La Crosse WI","218 11th St N, La Crosse WI","$2,400 ",2400,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",23
Resurrection Rentals,5bd/2ba,5,2,"222 11th St N, La Crosse WI","222 11th St N, La Crosse WI","$3,000 ",3000,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",23
Resurrection Rentals,5bd/2ba,5,2,"230 11th St N, La Crosse WI","230 11th St N, La Crosse WI","$3,000 ",3000,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",23
Resurrection Rentals,5bd/1ba,5,1,231 13th St North La Crosse WI,231 13th St North La Crosse WI,"$3,000 ",3000,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",23
RK&D Properties,4bd/1ba,4,1,"1118 La Crosse St, Down, La Crosse WI","1118 La Crosse St, Down, La Crosse WI","$1,540 ",1540,TRUE,TRUE,"Trash, Range/Oven",21
Miller Properties,5bd/2ba,5,2,2029 State St La Crosse WI,2029 State St La Crosse WI,"$2,375 ",2375,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",1
Miller Properties,5bd/2ba,5,2,312 21st St North La Crosse WI,312 21st St North La Crosse WI,"$2,375 ",2375,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",1
Dillaber Properties,3bd/1ba,3,1,1256 La Crosse St La Crosse WI,1256 La Crosse St La Crosse WI,"$1,320 ",1320,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",11
B.Sawyer Properties,3bd/1ba,3,1,730 10th St North La Crosse WI,730 10th St North La Crosse WI,"$1,665 ",1665,TRUE,FALSE,"Trash, Refrigerator, Range/Oven, Microwave, Dishwasher",6
B.Sawyer Properties,3bd/1ba,3,1,1229 State St La Crosse WI,1229 State St La Crosse WI,"$1,770 ",1770,TRUE,FALSE,"Trash, Refrigerator, Range/Oven, Microwave, Dishwasher",6
Dillaber Properties,3bd/1ba,3,1,1118 Vine St La Crosse WI,1118 Vine St La Crosse WI,"$1,410 ",1410,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",11
Gerrard Properties,3bd/1ba,3,1,1010 Vine St La Crosse WI,1010 Vine St La Crosse WI,"$2,145 ",2145,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",8
Baumgartner Properties,3bd/1ba,3,1,720 10th St North La Crosse WI,720 10th St North La Crosse WI,"$1,300 ",1300,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",9
AptsLax LLC,3bd/1ba,3,1,624 8th St South Up La Crosse WI,624 8th St South Up-RENTED La Crosse WI,"$1,090 ",1090,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",14
Benson Properties,5bd/2ba,5,2,912 8th St South La Crosse WI,912 8th St South La Crosse WI,"$2,475 ",2475,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Garbage Disposal, Dishwasher",25
Benson Properties,3bd/1ba,3,1,1228 Pine St La Crosse WI,1228 Pine St La Crosse WI,"$1,710 ",1710,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher, Disposal",25
Biondo Properties,4bd/2ba,4,2,625 8th St South La Crosse WI,625 8th St South La Crosse WI,"$1,956 ",1956,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher",12
JCH Rentals,2bd/1ba,2,1,1026 5th Ave South La Crosse WI,1026 5th Ave South La Crosse WI,$975 ,975,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Disposal, Dishwasher",19
Resurrection Rentals,3bd/1ba,3,1,202 13th St North La Crosse WI,202 13th St North La Crosse WI,"$1,500 ",1500,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",23
Resurrection Rentals,3bd/1ba,3,1,221 13th St North #4 La Crosse WI,221 13th St North #4 La Crosse WI,"$1,800 ",1800,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Microwave, Dishwasher",23
Resurrection Rentals,3bd/1ba,3,1,221 13th St North #1 La Crosse WI,221 13th St North #1 La Crosse WI,"$2,400 ",2400,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher, Microwave",23
Miller Properties,1bd/1ba,1,1,321 21st St North La Crosse WI,321 21st St North La Crosse WI,$550 ,550,TRUE,TRUE,"Heat, Electric, Hot Water, Trash, Refrigerator, Range/Oven",1
Miller Properties,3bd/1ba,3,1,317 21st St North La Crosse WI,317 21st St North La Crosse WI,"$1,425 ",1425,TRUE,FALSE,"Heat, Electric, Hot Water, Trash, Refrigerator, Range/Oven",1
Miller Properties,2bd/1ba,2,1,319 21st St N La Crosse WI,319 21st St N-RENTED La Crosse WI,$950 ,950,TRUE,FALSE,"Heat, Electric, Hot Water, Trash, Refrigerator, Range/Oven",1
Lesniewski LLC,2bd/1ba,2,1,620 11th St North La Crosse WI,620 11th St North La Crosse WI,$890 ,890,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",26
Miller Properties,5bd/2ba,5,2,1526 State St La Crosse WI,1526 State St La Crosse WI,"$2,700 ",2700,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",1
Gander Rentals,7bd/3ba,7,3,2111 State St La Crosse WI,2111 State St La Crosse WI,"$3,780 ",3780,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Disposal, Dishwasher, Microwave",17
Legends Living,4bd/2ba,4,2,920 7th St South La Crosse WI,920 7th St South La Crosse WI,"$1,800 ",1800,FALSE,FALSE,"Water, Hot Water, Trash, Refrigerator, Range/Oven, Disposal, Dishwasher, Microwave",27
Legends Living,2bd/1ba,2,1,114 11th St South La Crosse WI,114 11th St South La Crosse WI,"$1,000 ",1000,TRUE,TRUE,"Water, Hot Water, Trash, Refrigerator, Range/Oven, Disposal, Dishwasher, Microwave",27
Legends Living,2bd/1ba,2,1,919 Johnson St La Crosse WI,919 Johnson St La Crosse WI,$900 ,900,TRUE,FALSE,"Water, Hot Water, Trash, Refrigerator, Range/Oven, Disposal, Dishwasher, Microwave",27
Legends Living,3bd/2ba,3,2,930 7th St South La Crosse WI,930 7th St South La Crosse WI,"$1,350 ",1350,TRUE,TRUE,"Water, Hot Water, Trash, Refrigerator, Range/Oven, Disposal, Dishwasher, Microwave",27
Legends Living,2bd/2ba,2,2,926 7th St S-HOLD La Crosse WI,926 7th St S-HOLD La Crosse WI,$900 ,900,FALSE,FALSE,"Water, Hot Water, Trash, Refrigerator, Range/Oven, Disposal, Dishwasher, Microwave",27
Legends Living,1bd/1ba,1,1,924 7th St S-HOLD La Crosse WI,924 7th St S-HOLD La Crosse WI,$450 ,450,FALSE,TRUE,"Water, Hot Water, Trash, Refrigerator, Range/Oven, Disposal, Dishwasher, Microwave",27
Dillaber Properties,3bd/1ba,3,1,1105 Vine St La Crosse WI,1105 Vine St La Crosse WI,"$1,155 ",1155,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Disposal",11
Dillaber Properties,3bd/1ba,3,1,520 11th St North La Crosse WI,520 11th St North La Crosse WI,"$1,260 ",1260,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",11
Favre Retnals,3bd/2ba,3,2,1745 King St La Crosse WI,1745 King St La Crosse WI,"$1,500 ",1500,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",16
JAMAR Properties,3bd/1ba,3,1,1408 Madison St La Crosse WI,1408 Madison St La Crosse WI,"$1,850 ",1850,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",20
Gander Rentals,6bd/1ba,6,1,119 16th St North La Crosse WI,119 16th St North La Crosse WI,"$3,240 ",3240,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",17
JCR Properties,3bd/2ba,3,2,713 10th St N La Crosse WI,713 10th St N-RENTED La Crosse WI,"$1,200 ",1200,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher, Microwave",28
Wrobel Rentals,4bd/2ba,4,2,430 11th St North La Crosse WI,430 11th St North La Crosse WI,"$1,600 ",1600,FALSE,TRUE,"Water, Hot Water, Trash, Refrigerator, Range/Oven, Dishwasher",29
Karbin Properties,2bd/1ba,2,1,132 9th St South La Crosse WI,132 9th St South La Crosse WI,$920 ,920,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",30
Karbin Properties,2bd/1ba,2,1,126 9th St South La Crosse WI,126 9th St South La Crosse WI,$920 ,920,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",30
Karbin Properties,2bd/1ba,2,1,128 9th St South La Crosse WI,128 9th St South La Crosse WI,$940 ,940,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",30
Karbin Properties,1bd/1ba,1,1,134 9th St South #1 La Crosse WI,134 9th St South #1 La Crosse WI,$720 ,720,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",30
Cappuccio Rentals,2bd/1ba,2,1,"509 11th St N, Down, La Crosse WI","509 11th St N, Down, La Crosse WI","$1,070 ",1070,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher, Microwave",13
Karbin Properties,1bd/1ba,1,1,134 9th St South #4 La Crosse WI,134 9th St South #4 La Crosse WI,$760 ,760,FALSE,TRUE,"Water, Trash, Refrigerator, Range/Oven",30
Karbin Properties,1bd/1ba,1,1,134 9th St South #3 La Crosse WI,134 9th St South #3 La Crosse WI,$720 ,720,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",30
Karbin Properties,2bd/1ba,2,1,130 9th St South La Crosse WI,130 9th St South La Crosse WI,$940 ,940,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",30
Karbin Properties,2bd/1ba,2,1,109 9th St South La Crosse WI,109 9th St South La Crosse WI,"$1,200 ",1200,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",30
Dillaber Properties,5bd/1.5ba,5,1.5,520 11th St North La Crosse WI,520 11th St North La Crosse WI,"$2,100 ",2100,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",11
Dillaber Properties,4bd/1ba,4,1,1118 Vine St La Crosse WI,1118 Vine St La Crosse WI,"$1,640 ",1640,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",11
Dillaber Properties,4bd/1ba,4,1,520 11th St North La Crosse WI,520 11th St North La Crosse WI,"$1,680 ",1680,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",11
Dillaber Properties,4bd/1ba,4,1,1107 Vine St La Crosse WI,1107 Vine St La Crosse WI,"$1,880 ",1880,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",11
Mickelson Properties,1bd/1ba,1,1,1911 West Ave South La Crosse WI,1911 West Ave South La Crosse WI,$850 ,850,FALSE,TRUE,"Heat, Gas, Elecricity, Trash, Refrigerator, Range/Oven, Microwave",5
Off-Campus La Crosse LLC,4bd/1.5ba,4,1.5,1417 State St La Crosse WI,1417 State St La Crosse WI,"$2,150 ",2150,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",4
Gerrard Properties,2bd/1ba,2,1,1010 Vine St La Crosse WI,1010 Vine St La Crosse WI,"$1,500 ",1500,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",8
Gerrard Properties,4bd/2ba,4,2,1010 Vine St La Crosse WI,1010 Vine St La Crosse WI,"$2,840 ",2840,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher",8
DBB Properties,3bd/1ba,3,1,1217 State St La Crosse WI,1217 State St La Crosse WI,"$1,425 ",1425,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Lawn/Snow",31
DBB Properties,4bd/1.5ba,4,1.5,1217 State St La Crosse WI,1217 State St La Crosse WI,"$1,900 ",1900,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Lawn/Snow",31
DBB Properties,2bd/1ba,2,1,1217 State St La Crosse WI,1217 State St-RENTED La Crosse WI,$950 ,950,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Lawn/Snow",31
Hougom Properties,2bd/1ba,2,1,132 11th St South La Crosse WI,132 11th St South La Crosse WI,$650 ,650,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Lawn/Snow",32
Dillaber Properties,3bd/1ba,3,1,321 15th St North La Crosse WI,321 15th St North La Crosse WI,"$1,230 ",1230,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",11
Off-Campus La Crosse LLC,3bd/1ba,3,1,1408 Vine St La Crosse WI,1408 Vine St La Crosse WI,"$1,650 ",1650,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",4
Cappuccio Rentals,2bd/1ba,2,1,"509 11th St N, Up, La Crosse WI","509 11th St N, Up, La Crosse WI","$1,100 ",1100,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher, Microwave",13
G&N Properties,4bd/2ba,4,2,1300 Vine St La Crosse WI,1300 Vine St La Crosse WI,"$1,940 ",1940,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Water & Sewer",33
JAMAR Properties,1bd/1ba,1,1,210 West Ave North La Crosse WI,210 West Ave North La Crosse WI,$905 ,905,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",20
Favre Retnals,5bd/1.5ba,5,1.5,112 17th St South La Crosse WI,112 17th St South La Crosse WI,"$2,600 ",2600,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",16
